phrase,matched_tag
deeply religious,religious
faith plays a big role,religious
committed to religion,religious
strictly religious,religious
observes religious practices regularly,religious
attends religious services every week,religious
prays daily,religious
active member of religious community,religious
follows rituals closely,religious
religion guides life decisions,religious
observes religious fasting,religious
traditional religious upbringing,religious
takes religion seriously,religious
rituals are part of routine,religious
has religious discipline,religious
celebrates all religious festivals,religious
strong religious identity,religious
deep faith in god,religious
belief in higher power,religious
finds comfort in prayer,religious
raised in religious family,religious
god-fearing,religious
finds meaning through religion,religious
believes god has a plan,religious
follows sacred texts,religious
religious lifestyle,religious
participates in temple rituals,religious
connected to ancestral religion,religious
believes in divine intervention,religious
respects religious traditions,religious
religion is central to values,religious
life guided by faith,religious
upholds religious duties,religious
lives by religious ethics,religious
not religious at all,not religious
not into religion,not religious
religion doesn't matter to me,not religious
no religious affiliation,not religious
non-religious,not religious
doesn't believe in religious rules,not religious
lives outside religion,not religious
avoids religious labels,not religious
raised without religion,not religious
uninterested in religion,not religious
indifferent to religion,not religious
religion isn’t part of daily life,not religious
respects religion but not involved,not religious
religious beliefs are personal,not religious
doesn't follow any religion,not religious
god isn’t part of worldview,not religious
not involved in spiritual/religious circles,not religious
rejects religious ideologies,not religious
free from organized religion,not religious
keeps religion private,not religious
not aligned with any faith,not religious
believes in spirituality,spiritual
spiritually inclined,spiritual
practices mindfulness,spiritual
meditates often,spiritual
searches for inner peace,spiritual
connects with the universe,spiritual
believes in karma,spiritual
spiritual but not religious,spiritual
focuses on soul growth,spiritual
spiritual seeker,spiritual
spiritual connection with life,spiritual
spiritual energy matters,spiritual
lives a mindful life,spiritual
explores consciousness,spiritual
meditative lifestyle,spiritual
spiritual over religious,spiritual
conscious living,spiritual
inner journey matters,spiritual
yoga is spiritual path,spiritual
believes in metaphysics,spiritual
believes in cosmic energy,spiritual
awakening spiritually,spiritual
believes in reincarnation,spiritual
introspective mindset,spiritual
values spiritual growth,spiritual
follows a spiritual path,spiritual
guided by inner wisdom,spiritual
finds divinity in nature,spiritual
honors spiritual experiences,spiritual
feels deeply connected spiritually,spiritual
soul-focused living,spiritual
not spiritual,not spiritual
not into spirituality,not spiritual
doesn't follow spiritual beliefs,not spiritual
doesn't relate to spiritual ideas,not spiritual
not interested in meditation,not spiritual
doesn't believe in higher energy,not spiritual
finds spirituality vague,not spiritual
no inner belief system,not spiritual
skeptical of spiritual paths,not spiritual
not on a spiritual journey,not spiritual
disconnects from spiritual ideas,not spiritual
prefers rationality to spiritual beliefs,not spiritual
atheist,atheist
doesn't believe in god,atheist
no belief in supreme being,atheist
openly atheist,atheist
rationalist thinker,atheist
science over god,atheist
denies existence of god,atheist
firmly atheist,atheist
questions religious belief,atheist
atheist by choice,atheist
doesn’t pray or believe,atheist
thinks god is man-made idea,atheist
doesn’t subscribe to religion,atheist
religion is mythology,atheist
spirituality is superstition,atheist
agnostic,agnostic
unsure about god,agnostic
doesn’t claim to know if god exists,agnostic
open to possibility,agnostic
spiritually uncertain,agnostic
neutral about religion,agnostic
doesn't identify with any belief,agnostic
agnostic thinker,agnostic
neither theist nor atheist,agnostic
open-minded about god,agnostic
spiritually undecided,agnostic
not sure if god exists,agnostic
might believe, might not agnostic
willing to explore belief systems,agnostic
ritualistic person,ritualistic
believes in traditions and rituals,ritualistic
values customs and ceremonies,ritualistic
performs religious rites regularly,ritualistic
culturally ritualistic,ritualistic
follows all spiritual practices,ritualistic
likes performing rituals,ritualistic
doesn't skip holy days,ritualistic
wakes up to chant prayers,ritualistic
performs daily puja,ritualistic
values ceremonial acts,ritualistic
feels peace in rituals,ritualistic
keeps ritual discipline,ritualistic
non-ritualistic,non-ritualistic
not into rituals,non-ritualistic
spiritual but not into ceremonies,non-ritualistic
finds rituals unnecessary,non-ritualistic
doesn’t perform religious customs,non-ritualistic
minimalistic in rituals,non-ritualistic
too practical for rituals,non-ritualistic
follows belief without rituals,non-ritualistic
rituals are outdated,non-ritualistic
prefers personal over ceremonial,non-ritualistic
keeps it simple,non-ritualistic
secular,secular
believes in secular values,secular
religion-neutral,secular
lives in a secular way,secular
not driven by faith,secular
prioritizes humanism,secular
no religious bias,secular
believes in equality over belief,secular
non-theistic world view,secular
keeps faith separate from decisions,secular
supports secularism,secular
values logic over doctrine,secular
open-minded,open-minded
accepting of other beliefs,open-minded
tolerant to all faiths,open-minded
interfaith-friendly,open-minded
respectful of other paths,open-minded
spiritually open,open-minded
believes everyone’s path is valid,open-minded
religion is personal to each,open-minded
non-judgmental of beliefs,open-minded
lives and lets live,open-minded
welcomes all perspectives,open-minded
faith or no faith—respects all,open-minded
curious about different paths,open-minded
